first_gap,gap_step,window_total,n_target_peaks,n_matched,frac_matched,total_abs_centre_residual,rms_centre_residual,mean_abs_centre_residual,anchor_mjd
656.0,26.0,200.0,7,4,0.5714285714285714,174.0,50.68037095365423,43.5,50014.067
650.0,25.0,150.0,7,4,0.5714285714285714,175.0,46.97073557013984,43.75,50014.067
650.0,25.0,200.0,7,4,0.5714285714285714,175.0,46.97073557013984,43.75,50014.067
662.0,26.0,200.0,7,4,0.5714285714285714,176.0,56.049085630365106,44.0,50014.067
662.0,26.0,250.0,7,4,0.5714285714285714,176.0,56.049085630365106,44.0,50014.067
655.0,26.0,200.0,7,4,0.5714285714285714,177.0,53.57471418495856,44.25,50014.067
664.0,23.0,150.0,7,4,0.5714285714285714,178.0,52.5642464038057,44.5,50014.067
670.0,18.0,200.0,7,4,0.5714285714285714,183.0,54.164102503410874,45.75,50014.067
670.0,18.0,250.0,7,4,0.5714285714285714,183.0,54.164102503410874,45.75,50014.067
663.0,26.0,250.0,7,4,0.5714285714285714,183.0,60.28474102125678,45.75,50014.067
657.0,24.0,150.0,7,4,0.5714285714285714,184.0,47.05847426340977,46.0,50014.067
663.0,20.0,150.0,7,4,0.5714285714285714,184.0,49.320381182630776,46.0,50014.067
663.0,20.0,200.0,7,4,0.5714285714285714,184.0,49.320381182630776,46.0,50014.067
663.0,20.0,250.0,7,4,0.5714285714285714,184.0,49.320381182630776,46.0,50014.067
