lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
-40.0,-0.1674544586858096,0.03131997235661964,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-20.0,-0.2565211221953664,0.03111537560325629,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
0.0,-0.3352280119152661,0.031121953534881865,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
20.0,-0.3424554638363878,0.032025936405722814,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
40.0,-0.2928625796227494,0.03209905695314373,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
60.0,-0.28114841652976097,0.03234830115611505,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
80.0,-0.3288203230863757,0.03152236928937119,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
100.0,-0.43278400744659495,0.03158674027891444,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
120.0,-0.5423010419455166,0.03141334892433165,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
140.0,-0.5553807087260351,0.03107337954003297,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
160.0,-0.4900995900145311,0.031555874686896,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
180.0,-0.41651963731889263,0.03143183263249729,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
200.0,-0.3392354061525776,0.03146860022666198,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-200.0,-0.2170878389228024,0.29525215733740034,0.6193806193806194,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-180.0,-0.3604090937278053,0.299190968371874,0.3016983016983017,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-160.0,-0.38955612888982805,0.3031343411398433,0.2127872127872128,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
