MJD,PC1,PC2,PC3,dataset
52193.349,0.6848443508230535,0.07618735342869574,0.6259892236329351,AFB
52200.329,0.26484384899260865,-0.13690541426075506,0.06603401389595867,AFB
52240.168,-0.9334251837321248,-1.003184205836992,0.11180076525294311,AFB
52242.163,-0.9709626074687665,-1.0479038532134353,0.11067323580528841,AFB
52243.159,-0.9903847002329464,-1.1066963399174277,0.14387292572387936,AFB
52244.157,-1.0360486358555128,-1.1173027030702534,0.18609375918015814,AFB
52245.153,-0.9991532601399621,-1.1298536411223683,0.16012537881026073,AFB
52246.15,-1.0164749868179197,-1.1549659922240827,0.06841783270327424,AFB
52248.146,-1.063083182183741,-1.0822832972136593,-0.0980254384235469,AFB
52249.142,-1.120340491415536,-0.9745491118833897,-0.1893303283707678,AFB
52250.139,-1.1646798961052705,-0.8738786490792626,-0.3100597837134083,AFB
52251.137,-1.2722454671052639,-0.6845798877530986,-0.9845453035891011,AFB
52252.135,-1.289657572235363,-0.4990275362182442,-1.2780149590727934,AFB
52253.131,-1.1891366795292397,-0.25268916712054246,-1.4107894581063811,AFB
52254.126,-1.0388493899057631,-0.10219902229762905,-1.3082899506686791,AFB
52255.127,-0.8284830760432763,0.07830294030312186,-1.286526161735912,AFB
52256.124,-0.6410447225484964,0.27347021301350305,-1.2081747648115508,AFB
52257.122,-0.479780746079942,0.4255773936248634,-1.1354093940671197,AFB
52258.117,-0.3761702317506284,0.6067177048030847,-1.3813311986938421,AFB
52259.116,-0.4217579125469535,0.6712655952922331,-1.7863622142427549,AFB
52260.114,-0.4183005850231529,0.4203532400513127,-1.831781427876988,AFB
52261.11,-0.4117145667630272,0.30100402700277296,-1.711695459965463,AFB
52272.923,-0.4959300040205701,-0.9453373340102594,-0.03451781125678456,AFB
52275.136,-0.2942355384758178,-0.4252499553534455,-0.6493193825375583,AFB
52305.165,-0.7994535165920553,-0.4535195400994678,-1.6404098577450765,AFB
52313.831,-0.8743821505383983,-0.36705908678537696,-0.7399271917216236,AFB
52324.845,-0.9173453313519008,-0.5131131397658766,-0.7783779057560472,AFB
52348.869,-0.48463962186966875,-1.4762962423708434,0.8620459449889235,AFB
52350.868,-0.480942434710754,-1.2724060998564917,0.8454422083341226,AFB
52351.861,-0.4190758270776412,-1.142624072107909,0.8725195304039359,AFB
52352.859,-0.4044342310642825,-0.8801675329771114,0.7291759640107778,AFB
52355.85,-0.3643221673802829,-0.43907664220739534,0.15130962443318208,AFB
52358.843,-0.23215476194515366,-0.5588113045435401,0.7993844400949803,AFB
52446.602,-0.5975377303248648,-0.5210915965238985,0.3797194927559305,AFB
52447.598,-0.5668351668281516,-0.5822579918671029,0.5772295422800261,AFB
52448.597,-0.5432813535742015,-0.5536065323354024,0.6687518519521939,AFB
52449.595,-0.5316036589966535,-0.5275412927116347,0.6830469766513376,AFB
52450.591,-0.5274418012189115,-0.5120539009988638,0.6837761768947745,AFB
52451.589,-0.5635659908715013,-0.5891994863318577,0.7611460898015514,AFB
52455.572,-0.6941741815054512,-0.564490046594528,0.515394557165896,AFB
52456.575,-0.7450461337849524,-0.5861240890279,0.4385539100192338,AFB
52457.571,-0.7525640019373033,-0.5848724327296494,0.45923203480665126,AFB
52461.561,-0.6987186597767727,-0.43874043041961125,0.5301398200406091,AFB
52462.558,-0.7053365557310581,-0.38474942638308585,0.48502643606276324,AFB
52463.553,-0.6461200690902205,-0.3713806909292352,0.4538900891687725,AFB
52464.553,-0.5837400479770992,-0.3958477737517386,0.44810703697688536,AFB
52465.55,-0.4918061922379421,-0.37676204331093144,0.3787605324052711,AFB
52466.546,-0.3734121400115484,-0.3418459443170724,0.19983869673191004,AFB
52471.534,-0.23458037421562536,-0.20008028615259624,-0.5961690209423253,AFB
52472.558,-0.22151523402467807,-0.2005249622256739,-0.6898834698918941,AFB
52473.529,-0.19548100402956026,-0.1960255268581638,-0.7366721193386189,AFB
52474.527,-0.14015430385788716,-0.18995929265449218,-0.7894406671329326,AFB
52475.517,-0.15616308860393494,-0.2150530426979544,-0.8830157978682166,AFB
52479.512,-0.23339708805496795,-0.5457126090638077,-1.1680259271308666,AFB
52480.508,-0.292478146275295,-0.617607906657039,-1.1410589368456336,AFB
52481.507,-0.39368920179511047,-0.6861807118414515,-1.1484319237231415,AFB
52482.504,-0.43756092888692094,-0.7759618290643274,-1.124555229986634,AFB
