MJD,nudot,nudot_err,delta_glitch
50043.06827,-1263.1258105484592,0.006696278169488756,0.0
50044.06827,-1263.143363532484,0.006682456048915811,0.0
50045.06827,-1263.1611572018708,0.00666645277130607,0.0
50046.06827,-1263.1791825470743,0.0066468636540121615,0.0
50047.06827,-1263.1974304000182,0.0066225752485690615,0.0
50048.06827,-1263.2158914486827,0.006592729530933777,0.0
50049.06827,-1263.234556244443,0.006556690444418159,0.0
50050.06827,-1263.2534152141147,0.006514013742709826,0.0
50051.06827,-1263.2724586703507,0.006464420067500805,0.0
50052.06827,-1263.2916768195848,0.00640777139569951,0.0
50053.06827,-1263.311059777534,0.006344050548999189,0.0
50054.06827,-1263.3305975739843,0.006273343575951784,0.0
50055.06827,-1263.3502801642412,0.006195824622650656,0.0
50056.06827,-1263.3700974417595,0.006111743104624006,0.0
50057.06827,-1263.390039243918,0.006021412815332281,0.0
50058.06827,-1263.4100953662376,0.005925202778819466,0.0
50059.06827,-1263.4302555670095,0.005823529485935525,0.0
50060.06827,-1263.4505095804636,0.005716850522699379,0.0
50061.06827,-1263.470847124837,0.005605659239060568,0.0
50062.06827,-1263.491257911679,0.005490480351285788,0.0
50063.06827,-1263.5117316540156,0.005371866354069664,0.0
50064.06827,-1263.5322580759935,0.005250394578319773,0.0
50065.06827,-1263.5528269231088,0.005126664839346318,0.0
50066.06827,-1263.5734279668904,0.005001297443602075,0.0
50067.06827,-1263.5940510178245,0.00487493155492917,0.0
50068.06827,-1263.6146859295013,0.004748223681313955,0.0
50069.06827,-1263.6353226097665,0.004621846195844856,0.0
50070.06827,-1263.6559510279435,0.004496485685407687,0.0
50071.06827,-1263.6765612191016,0.0043728409922057475,0.0
50072.06827,-1263.6971432979021,0.004251620592450462,0.0
50073.06827,-1263.717687459391,0.004133539251491524,0.0
50074.06827,-1263.7381839919194,0.004019313514849181,0.0
50075.06827,-1263.7586232785518,0.003909655834267773,0.0
50076.06827,-1263.778995807945,0.003805267088069528,0.0
50077.06827,-1263.7992921793314,0.0037068272738520576,0.0
50078.06827,-1263.8195031090781,0.003614984324701003,0.0
50079.06827,-1263.8396194354473,0.003530341006663877,0.0
50080.06827,-1263.8596321271996,0.0034534404983093845,0.0
50081.06827,-1263.8795322876433,0.0033847508553467107,0.0
50082.06827,-1263.8993111581958,0.003324649602320911,0.0
50083.06827,-1263.9189601284963,0.0032734093149634066,0.0
50084.06827,-1263.9384707369647,0.003231185624400852,0.0
50085.06827,-1263.9578346781982,0.003198008800217086,0.0
50086.06827,-1263.9770438059275,0.0031737800228903404,0.0
50087.06827,-1263.9960901396455,0.0031582729610090776,0.0
50088.06827,-1264.0149658653127,0.0031511407899765106,0.0
50089.06827,-1264.0336633443621,0.00315192814031621,0.0
50090.06827,-1264.052175112127,0.003160087078712898,0.0
50091.06827,-1264.0704938844488,0.0031749957513928563,0.0
50092.06827,-1264.088612561395,0.0031959782330469653,0.0
50093.06827,-1264.1065242294126,0.003222324266005986,0.0
50094.06827,-1264.124222162426,0.003253307607434503,0.0
50095.06827,-1264.1416998279637,0.003288202349292741,0.0
50096.06827,-1264.1589508873208,0.003326296527526939,0.0
50097.06827,-1264.1759691994,0.003366902998486857,0.0
50098.06827,-1264.1927488219428,0.003409367598701988,0.0
50099.06827,-1264.209284011886,0.0034530748801762322,0.0
50100.06827,-1264.225569230302,0.003497451677919111,0.0
50101.06827,-1264.2415991408955,0.0035419689851791175,0.0
50102.06827,-1264.2573686130575,0.003586142466227657,0.0
50103.06827,-1264.27287272304,0.0036295319308902096,0.0
50104.06827,-1264.288106751953,0.0036717400644470446,0.0
50105.06827,-1264.303066190841,0.0037124106681161915,0.0
50106.06827,-1264.3177467373393,0.003751226626237931,0.0
50107.06827,-1264.3321442983108,0.003787907593873514,0.0
50108.06827,-1264.3462549895592,0.0038222077844524034,0.0
50109.06827,-1264.3600751328108,0.003853913640046062,0.0
50110.06827,-1264.3736012629956,0.0038828416392024364,0.0
50111.06827,-1264.3868301176883,0.003908836200164005,0.0
50112.06827,-1264.3997586433445,0.003931767683361443,0.0
50113.06827,-1264.4123839936863,0.003951530565307617,0.0
50114.06827,-1264.424703528134,0.003968041711080798,0.0
50115.06827,-1264.436714807906,0.003981238806226451,0.0
50116.06827,-1264.4484156006308,0.003991078897697418,0.0
50117.06827,-1264.4598038726708,0.003997537089368951,0.0
50118.06827,-1264.4708777921028,0.004000605356711193,0.0
50119.06827,-1264.481635725301,0.00400029137714254,0.0
50120.06827,-1264.4920762344336,0.003996617603807174,0.0
50121.06827,-1264.502198078783,0.003989620324045422,0.0
50122.06827,-1264.5120002050069,0.0039793488033692094,0.0
50123.06827,-1264.5214817552778,0.003965864573791936,0.0
50124.06827,-1264.530642056457,0.003949240734298549,0.0
50125.06827,-1264.5394806224654,0.003929561348486668,0.0
50126.06827,-1264.547997147904,0.003906920861399206,0.0
50127.06827,-1264.5561915083117,0.003881423568015313,0.0
50128.06827,-1264.5640637582023,0.003853183216110383,0.0
50129.06827,-1264.5716141243367,0.0038223224999765393,0.0
50130.06827,-1264.578843006173,0.0037889727608054554,0.0
50131.06827,-1264.5857509696925,0.0037532735770519575,0.0
50132.06827,-1264.5923387463583,0.003715372456322754,0.0
50133.06827,-1264.5986072307717,0.003675424596473868,0.0
50134.06827,-1264.6045574751472,0.003633592516963772,0.0
50135.06827,-1264.6101906848733,0.003590045865813301,0.0
50136.06827,-1264.6155082183052,0.0035449611257204554,0.0
50137.06827,-1264.6205115827738,0.003498521400669818,0.0
50138.06827,-1264.6252024284984,0.003450916114105808,0.0
50139.06827,-1264.6295825459974,0.0034023407679984025,0.0
50140.06827,-1264.6336538633952,0.0033529965530806217,0.0
50141.06827,-1264.637418442906,0.0033030901119776137,0.0
50142.06827,-1264.640878472056,0.0032528330795129545,0.0
50143.06827,-1264.6440362689639,0.0032024415647896806,0.0
50144.06827,-1264.6468942710542,0.0031521356566296195,0.0
50145.06827,-1264.649455030515,0.0031021387219920793,0.0
50146.06827,-1264.6517212214833,0.0030526765914414794,0.0
50147.06827,-1264.6536956182051,0.0030039766190087603,0.0
50148.06827,-1264.6553811060578,0.0029562665935671363,0.0
50149.06827,-1264.6567806729215,0.002909773401195496,0.0
50150.06827,-1264.6578974042404,0.0028647215304637478,0.0
50151.06827,-1264.6587344750708,0.0028213313901814833,0.0
50152.06827,-1264.6592951558182,0.0027798174104805306,0.0
50153.06827,-1264.659582801347,0.0027403859080317285,0.0
50154.06827,-1264.6596008478784,0.0027032328442883127,0.0
50155.06827,-1264.6593528091385,0.002668541390715166,0.0
